,altitude,distance
956,229.4,19313.3
957,228.8,19327.4
958,228.8,19367.9
959,229.2,19429.9
960,229.6,19440.6
961,230.2,19451.8
962,231.0,19463.2
963,231.6,19474.2
964,232.2,19485.2
965,233.0,19496.6
966,233.0,19563.3
967,233.4,19574.9
968,233.8,19585.8
969,234.2,19596.7
970,234.6,19608.3
971,235.2,19619.8
972,235.2,19656.4
973,234.6,19682.4
974,234.2,19695.4
975,233.8,19708.8
976,233.2,19722.2
977,232.6,19736.1
978,232.0,19749.7
979,231.4,19762.8
980,230.8,19776.5
981,230.2,19790.0
982,230.6,19815.3
983,231.0,19827.5
984,231.8,19839.5
985,232.4,19851.6
986,233.0,19863.1
987,233.8,19875.0
988,234.4,19886.9
989,234.4,19937.8
990,233.8,19952.0
991,233.2,19966.5
992,232.6,19981.0
993,232.0,19996.7
994,231.2,20012.0
995,230.2,20027.7
996,229.0,20043.4
997,228.0,20058.8
998,228.2,20073.1
999,228.2,20087.0
1000,228.4,20101.3
1001,228.4,20113.5
1002,229.0,20126.8
1003,229.6,20138.5
1004,230.4,20150.5
1005,231.2,20161.5
1006,231.8,20172.9
1007,232.6,20184.0
1008,233.4,20195.2
1009,234.2,20206.5
